test_id,category,sex,bw_profile,step,lift,weight_lb,sets,reps,decision,tier,rel_strength,reason,adj
sexbw-bench-male-below_medium,progression,male,180.0,2.5,bench,182.5,4,6,increase,base,1.2,sex_bw_tier_base_scaled_increment,none
sexbw-bench-male-near_medium,progression,male,180.0,2.5,bench,192.5,4,6,increase,medium,1.267,sex_bw_tier_medium_scaled_increment,none
sexbw-bench-male-near_high,progression,male,180.0,2.5,bench,267.5,4,6,increase,high,1.767,sex_bw_tier_high_scaled_increment,none
sexbw-bench-female-below_medium,progression,female,180.0,2.5,bench,112.5,4,6,increase,base,0.733,sex_bw_tier_base_scaled_increment,none
sexbw-bench-female-near_medium,progression,female,180.0,2.5,bench,120.0,4,6,increase,medium,0.783,sex_bw_tier_medium_scaled_increment,none
sexbw-bench-female-near_high,progression,female,180.0,2.5,bench,170.0,4,6,increase,high,1.117,sex_bw_tier_high_scaled_increment,none
sexbw-bench-other-below_medium,progression,other,180.0,2.5,bench,147.5,4,6,increase,base,0.967,sex_bw_tier_base_scaled_increment,none
sexbw-bench-other-near_medium,progression,other,180.0,2.5,bench,155.0,4,6,increase,medium,1.017,sex_bw_tier_medium_scaled_increment,none
sexbw-bench-other-near_high,progression,other,180.0,2.5,bench,217.5,4,6,increase,high,1.433,sex_bw_tier_high_scaled_increment,none
beginnerLP-BWLPN-wk00-FB_A-00,progression,male,171.8,2.5,squat,135.0,3,5,hold,,,cold_start,none
beginnerLP-BWLPN-wk00-FB_A-00,progression,male,171.8,2.5,bench,95.0,3,5,hold,,,cold_start,none
beginnerLP-BWLPN-wk00-FB_B-01,progression,male,171.5,2.5,deadlift,155.0,1,5,hold,,,cold_start,none
beginnerLP-BWLPN-wk00-FB_B-01,progression,male,171.5,2.5,ohp,65.0,3,5,hold,,,cold_start,none
beginnerLP-BWLPN-wk00-FB_A-02,progression,male,171.8,2.5,squat,140.0,3,5,increase,,,novice_linear_progression,none
beginnerLP-BWLPN-wk00-FB_A-02,progression,male,171.8,2.5,bench,97.5,3,5,increase,,,novice_linear_progression,none
beginnerLP-BWLPN-wk01-FB_A-00,progression,male,172.7,2.5,squat,145.0,3,5,increase,,,novice_linear_progression,none
beginnerLP-BWLPN-wk01-FB_A-00,progression,male,172.7,2.5,bench,100.0,3,5,increase,,,novice_linear_progression,none
beginnerLP-BWLPN-wk01-FB_B-01,progression,male,172.4,2.5,deadlift,160.0,1,5,increase,,,novice_linear_progression,none
beginnerLP-BWLPN-wk01-FB_B-01,progression,male,172.4,2.5,ohp,67.5,3,5,increase,,,novice_linear_progression,none
beginnerLP-BWLPN-wk01-FB_A-02,progression,male,171.9,2.5,squat,150.0,3,5,increase,,,novice_linear_progression,none
beginnerLP-BWLPN-wk01-FB_A-02,progression,male,171.9,2.5,bench,102.5,3,5,increase,,,novice_linear_progression,none
beginnerLP-BWLPN-wk02-FB_A-00,progression,male,172.5,2.5,squat,155.0,3,5,increase,,,novice_linear_progression,none
beginnerLP-BWLPN-wk02-FB_A-00,progression,male,172.5,2.5,bench,105.0,3,5,increase,,,novice_linear_progression,none
beginnerLP-BWLPN-wk02-FB_B-01,progression,male,172.6,2.5,deadlift,165.0,1,5,increase,,,novice_linear_progression,none
beginnerLP-BWLPN-wk02-FB_B-01,progression,male,172.6,2.5,ohp,70.0,3,5,increase,,,novice_linear_progression,none
beginnerLP-BWLPN-wk02-FB_A-02,progression,male,172.2,2.5,squat,155.0,3,5,hold,,,hold_after_high_effort_or_miss,none
beginnerLP-BWLPN-wk02-FB_A-02,progression,male,172.2,2.5,bench,107.5,3,5,increase,,,novice_linear_progression,none
beginnerLP-BWLPN-wk03-FB_A-00,progression,male,172.3,2.5,squat,155.0,3,5,hold,,,hold_after_high_effort_or_miss,none
beginnerLP-BWLPN-wk03-FB_A-00,progression,male,172.3,2.5,bench,110.0,3,5,increase,,,novice_linear_progression,none
beginnerLP-BWLPN-wk03-FB_B-01,progression,male,172.2,2.5,deadlift,165.0,1,5,hold,,,hold_after_high_effort_or_miss,none
beginnerLP-BWLPN-wk03-FB_B-01,progression,male,172.2,2.5,ohp,72.5,3,5,increase,,,novice_linear_progression,none
beginnerLP-BWLPN-wk03-FB_A-02,progression,male,173.1,2.5,squat,155.0,3,5,hold,,,hold_after_high_effort_or_miss,none
beginnerLP-BWLPN-wk03-FB_A-02,progression,male,173.1,2.5,bench,110.0,3,5,hold,,,hold_after_high_effort_or_miss,none
beginnerLP-BWLPN-wk04-FB_A-00,progression,male,172.6,2.5,squat,147.5,3,5,decrease_small,,,readiness_cut_5pct,readinessCut
beginnerLP-BWLPN-wk04-FB_A-00,progression,male,172.6,2.5,bench,105.0,3,5,decrease_small,,,readiness_cut_5pct,readinessCut
beginnerLP-BWLPN-wk04-FB_B-01,progression,male,172.5,2.5,deadlift,157.5,1,5,decrease_small,,,readiness_cut_5pct,readinessCut
beginnerLP-BWLPN-wk04-FB_B-01,progression,male,172.5,2.5,ohp,70.0,3,5,decrease_small,,,readiness_cut_5pct,readinessCut
beginnerLP-BWLPN-wk04-FB_A-02,progression,male,172.8,2.5,squat,140.0,3,5,decrease_small,,,readiness_cut_5pct,readinessCut
beginnerLP-BWLPN-wk04-FB_A-02,progression,male,172.8,2.5,bench,100.0,3,5,decrease_small,,,readiness_cut_5pct,readinessCut
beginnerLP-BWLPN-wk05-FB_A-00,progression,male,173.3,2.5,squat,140.0,3,5,hold,,,hold_after_high_effort_or_miss,none
beginnerLP-BWLPN-wk05-FB_A-00,progression,male,173.3,2.5,bench,100.0,3,5,hold,,,hold_after_high_effort_or_miss,none
beginnerLP-BWLPN-wk05-FB_B-01,progression,male,172.8,2.5,deadlift,157.5,1,5,hold,,,hold_after_high_effort_or_miss,none
beginnerLP-BWLPN-wk05-FB_B-01,progression,male,172.8,2.5,ohp,70.0,3,5,hold,,,hold_after_high_effort_or_miss,none
beginnerLP-BWLPN-wk05-FB_A-02,progression,male,173.5,2.5,squat,140.0,3,5,hold,,,hold_after_high_effort_or_miss,none
beginnerLP-BWLPN-wk05-FB_A-02,progression,male,173.5,2.5,bench,100.0,3,5,hold,,,hold_after_high_effort_or_miss,none
beginnerLP-BWLPN-wk06-FB_A-00,progression,male,173.9,2.5,squat,140.0,3,5,hold,,,first_true_grinder_hold,none
beginnerLP-BWLPN-wk06-FB_A-00,progression,male,173.9,2.5,bench,100.0,3,5,hold,,,first_true_grinder_hold,none
beginnerLP-BWLPN-wk06-FB_B-01,progression,male,173.3,2.5,deadlift,157.5,1,5,hold,,,hold_after_high_effort_or_miss,none
beginnerLP-BWLPN-wk06-FB_B-01,progression,male,173.3,2.5,ohp,70.0,3,5,hold,,,hold_after_high_effort_or_miss,none
beginnerLP-BWLPN-wk06-FB_A-02,progression,male,174.0,2.5,squat,140.0,3,5,hold,,,first_true_grinder_hold,none
beginnerLP-BWLPN-wk06-FB_A-02,progression,male,174.0,2.5,bench,100.0,3,5,hold,,,first_true_grinder_hold,none
beginnerLP-BWLPN-wk07-FB_A-00,progression,male,174.2,2.5,squat,140.0,3,5,hold,,,hold_after_high_effort_or_miss,none
beginnerLP-BWLPN-wk07-FB_A-00,progression,male,174.2,2.5,bench,100.0,3,5,hold,,,hold_after_high_effort_or_miss,none
beginnerLP-BWLPN-wk07-FB_B-01,progression,male,173.6,2.5,deadlift,157.5,1,5,hold,,,hold_after_high_effort_or_miss,none
beginnerLP-BWLPN-wk07-FB_B-01,progression,male,173.6,2.5,ohp,70.0,3,5,hold,,,hold_after_high_effort_or_miss,none
beginnerLP-BWLPN-wk07-FB_A-02,progression,male,173.9,2.5,squat,140.0,3,5,hold,,,hold_after_high_effort_or_miss,none
beginnerLP-BWLPN-wk07-FB_A-02,progression,male,173.9,2.5,bench,100.0,3,5,hold,,,hold_after_high_effort_or_miss,none
beginnerLP-BWLPN-wk08-FB_A-00,progression,male,174.5,2.5,squat,125.0,2,5,deload,,,novice_stall_deload,deload
beginnerLP-BWLPN-wk08-FB_A-00,progression,male,174.5,2.5,bench,90.0,2,5,deload,,,novice_stall_deload,deload
beginnerLP-BWLPN-wk08-FB_B-01,progression,male,174.2,2.5,deadlift,142.5,1,5,deload,,,novice_stall_deload,deload
beginnerLP-BWLPN-wk08-FB_B-01,progression,male,174.2,2.5,ohp,62.5,2,5,deload,,,novice_stall_deload,deload
beginnerLP-BWLPN-wk08-FB_A-02,progression,male,174.1,2.5,squat,112.5,2,5,deload,,,novice_stall_deload,deload
beginnerLP-BWLPN-wk08-FB_A-02,progression,male,174.1,2.5,bench,80.0,2,5,deload,,,novice_stall_deload,deload
micro-sexbw-bench-threshold-00,progression,female,132.0,1.25,bench,120.0,4,6,increase,medium,1.068,microload_scaled_increment_medium,none
micro-sexbw-bench-threshold-01,progression,female,132.0,2.5,bench,120.0,4,6,hold,high,1.102,coarse_step_blocks_scaled_increment_high_tier,none
micro-sexbw-bench-threshold-02,progression,female,132.0,1.25,bench,125.0,4,6,increase,high,1.125,microload_scaled_increment_high,none
cut-relstrength-drift-00,readiness,male,209.3,2.5,bench,205.0,4,5,hold,base,1.143,cut_maintenance_hold_tier_base,none
cut-relstrength-drift-01,readiness,male,208.5,2.5,bench,205.0,4,5,hold,base,1.147,cut_maintenance_hold_tier_base,none
cut-relstrength-drift-02,readiness,male,207.9,2.5,bench,205.0,4,5,hold,base,1.15,cut_maintenance_hold_tier_base,none
cut-relstrength-drift-03,readiness,male,207.5,2.5,bench,205.0,4,5,hold,base,1.153,cut_maintenance_hold_tier_base,none
cut-relstrength-drift-04,readiness,male,206.6,2.5,bench,205.0,4,5,hold,base,1.158,cut_maintenance_hold_tier_base,none
cut-relstrength-drift-05,readiness,male,205.9,2.5,bench,200.0,4,5,decrease_small,base,1.161,cut_fatigue_small_drop,readinessCut
cut-relstrength-drift-06,readiness,male,205.2,2.5,bench,200.0,4,5,hold,base,1.146,cut_maintenance_hold_tier_base,none
cut-relstrength-drift-07,readiness,male,204.8,2.5,bench,200.0,4,5,hold,base,1.139,cut_maintenance_hold_tier_base,none
messy-pair-male-00-gap0,break_recovery,male,184.5,2.5,bench,165.0,3,5,hold,,,hold_after_break_or_high_effort,none
messy-pair-male-00-gap0,break_recovery,male,184.5,2.5,squat,225.0,3,5,hold,,,hold_after_break_or_high_effort,none
messy-pair-male-01-gap7,break_recovery,male,184.5,2.5,bench,157.5,3,5,decrease_small,,,break_reset_5pct,breakReset
messy-pair-male-01-gap7,break_recovery,male,184.5,2.5,squat,215.0,3,5,decrease_small,,,break_reset_5pct,breakReset
messy-pair-male-02-gap0,break_recovery,male,184.6,2.5,bench,157.5,3,5,hold,,,hold_after_break_or_high_effort,none
messy-pair-male-02-gap0,break_recovery,male,184.6,2.5,squat,215.0,3,5,hold,,,hold_after_break_or_high_effort,none
messy-pair-male-03-gap14,break_recovery,male,184.2,2.5,bench,142.5,3,5,decrease_small,,,break_reset_10pct,breakReset
messy-pair-male-03-gap14,break_recovery,male,184.2,2.5,squat,192.5,3,5,decrease_small,,,break_reset_10pct,breakReset
messy-pair-male-04-gap0,break_recovery,male,185.0,2.5,bench,142.5,3,5,hold,,,hold_after_break_or_high_effort,none
messy-pair-male-04-gap0,break_recovery,male,185.0,2.5,squat,192.5,3,5,hold,,,hold_after_break_or_high_effort,none
messy-pair-male-05-gap21,break_recovery,male,185.2,2.5,bench,120.0,3,5,decrease_small,,,break_reset_15pct,breakReset
messy-pair-male-05-gap21,break_recovery,male,185.2,2.5,squat,162.5,3,5,decrease_small,,,break_reset_15pct,breakReset
messy-pair-male-06-gap0,break_recovery,male,184.5,2.5,bench,120.0,3,5,hold,,,hold_after_break_or_high_effort,none
messy-pair-male-06-gap0,break_recovery,male,184.5,2.5,squat,162.5,3,5,hold,,,hold_after_break_or_high_effort,none
messy-pair-female-00-gap0,break_recovery,female,139.8,2.5,bench,115.0,3,5,hold,,,hold_after_break_or_high_effort,none
messy-pair-female-00-gap0,break_recovery,female,139.8,2.5,squat,165.0,3,5,hold,,,hold_after_break_or_high_effort,none
messy-pair-female-01-gap7,break_recovery,female,139.1,2.5,bench,110.0,3,5,decrease_small,,,break_reset_5pct,breakReset
messy-pair-female-01-gap7,break_recovery,female,139.1,2.5,squat,157.5,3,5,decrease_small,,,break_reset_5pct,breakReset
messy-pair-female-02-gap0,break_recovery,female,140.6,2.5,bench,110.0,3,5,hold,,,hold_after_break_or_high_effort,none
messy-pair-female-02-gap0,break_recovery,female,140.6,2.5,squat,157.5,3,5,hold,,,hold_after_break_or_high_effort,none
messy-pair-female-03-gap14,break_recovery,female,139.5,2.5,bench,100.0,3,5,decrease_small,,,break_reset_10pct,breakReset
messy-pair-female-03-gap14,break_recovery,female,139.5,2.5,squat,142.5,3,5,decrease_small,,,break_reset_10pct,breakReset
messy-pair-female-04-gap0,break_recovery,female,140.9,2.5,bench,100.0,3,5,hold,,,hold_after_break_or_high_effort,none
messy-pair-female-04-gap0,break_recovery,female,140.9,2.5,squat,142.5,3,5,hold,,,hold_after_break_or_high_effort,none
messy-pair-female-05-gap21,break_recovery,female,139.8,2.5,bench,85.0,3,5,decrease_small,,,break_reset_15pct,breakReset
messy-pair-female-05-gap21,break_recovery,female,139.8,2.5,squat,120.0,3,5,decrease_small,,,break_reset_15pct,breakReset
messy-pair-female-06-gap0,break_recovery,female,139.0,2.5,bench,85.0,3,5,hold,,,hold_after_break_or_high_effort,none
messy-pair-female-06-gap0,break_recovery,female,139.0,2.5,squat,120.0,3,5,hold,,,hold_after_break_or_high_effort,none
