test_id,user_id,date,session_type,category,sex,experience,bw_lb,step,lift,weight_lb,sets,reps,target_rpe,decision,tier,rel_strength,reason,adj
U901-wk00-FB_A-00,U901,2026-03-01,FB_A,progression,male,beginner,170.7,2.5,squat,127.5,3,5,7.5,hold,,,cold_start_conservative_estimate,none
U901-wk00-FB_A-00,U901,2026-03-01,FB_A,progression,male,beginner,170.7,2.5,bench,95.0,3,5,7.5,hold,,,cold_start_conservative_estimate,none
U901-wk00-FB_B-01,U901,2026-03-03,FB_B,progression,male,beginner,169.5,2.5,deadlift,145.0,1,5,7.5,hold,,,cold_start_conservative_estimate,none
U901-wk00-FB_B-01,U901,2026-03-03,FB_B,progression,male,beginner,169.5,2.5,ohp,92.5,3,5,7.5,hold,,,cold_start_conservative_estimate,none
U901-wk00-FB_A-02,U901,2026-03-05,FB_A,progression,male,beginner,169.8,2.5,squat,127.5,3,5,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U901-wk00-FB_A-02,U901,2026-03-05,FB_A,progression,male,beginner,169.8,2.5,bench,95.0,3,5,7.5,hold,,,conservative_hold_after_miss_or_high_rpe,none
U901-wk01-FB_A-00,U901,2026-03-08,FB_A,progression,male,beginner,170.8,2.5,squat,127.5,3,5,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U901-wk01-FB_A-00,U901,2026-03-08,FB_A,progression,male,beginner,170.8,2.5,bench,95.0,3,5,7.5,hold,,,conservative_hold_after_miss_or_high_rpe,none
U901-wk01-FB_B-01,U901,2026-03-10,FB_B,progression,male,beginner,169.6,2.5,deadlift,145.0,1,5,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U901-wk01-FB_B-01,U901,2026-03-10,FB_B,progression,male,beginner,169.6,2.5,ohp,92.5,3,5,7.5,hold,,,conservative_hold_after_miss_or_high_rpe,none
U901-wk01-FB_A-02,U901,2026-03-12,FB_A,progression,male,beginner,170.6,2.5,squat,127.5,3,5,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U901-wk01-FB_A-02,U901,2026-03-12,FB_A,progression,male,beginner,170.6,2.5,bench,95.0,3,5,7.5,hold,base,0.65,conservative_hold_until_easy_success_margin,none
U901-wk02-FB_A-00,U901,2026-03-15,FB_A,progression,male,beginner,171.1,2.5,squat,127.5,3,5,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U901-wk02-FB_A-00,U901,2026-03-15,FB_A,progression,male,beginner,171.1,2.5,bench,95.0,3,5,7.5,hold,base,0.648,conservative_hold_until_easy_success_margin,none
U901-wk02-FB_B-01,U901,2026-03-17,FB_B,progression,male,beginner,169.9,2.5,deadlift,150.0,1,5,7.5,increase,,,conservative_increase_only_if_easy_success,none
